Trace
Swept SA
A.10.04,N9000A
1261501431,-46.6965342179058
1263001422,-47.210875403055
1264501413,-47.2660204166646
1266001404,-47.6860388700471
1267501395,-47.94789114689
1269001386,-48.3790727959204
1270501377,-48.4999426917716
1272001368,-49.0170433185416
1273501359,-49.174287672122
1275001350,-49.7031786403628
1276501341,-50.0637436697328
1278001332,-50.2315240731382
1279501323,-50.5374019867499
1281001314,-50.9276937281261
1282501305,-51.0999895814565
1284001296,-51.4379773612015
1285501287,-52.1915119632111
1287001278,-51.9877711811207
1288501269,-52.1825188549115
1290001260,-52.4111373208199
1291501251,-52.895823455167
1293001242,-52.9443923842579
1294501233,-53.5443479208571
1296001224,-53.4810340351396
1297501215,-53.9166773661346
1299001206,-54.2371767240421
1300501197,-54.3783123765955
1302001188,-54.4740426715696
1303501179,-54.7239254098167
1305001170,-55.098986454318
1306501161,-55.4799426695547
1308001152,-55.8547528557268
1309501143,-55.8177790945718
1311001134,-56.5460486665397
1312501125,-56.4621643978306
1314001116,-57.0295083516381
1315501107,-56.9046087461102
1317001098,-57.4712001249302
1318501089,-57.402994501794
1320001080,-57.7322739012223
1321501071,-58.1094672415215
1323001062,-57.9725264361936
1324501053,-58.5586847646886
1326001044,-58.5253484493066
1327501035,-58.8099750661432
1329001026,-59.1226978158466
1330501017,-59.7259145107249
1332001008,-60.1621849875429
1333500999,-59.78291503624
1335000990,-60.15082661836
1336500981,-60.1962598183363
1338000972,-61.0078143555875
1339500963,-61.0006927356034
1341000954,-61.4194031293796
1342500945,-61.4946884705267
1344000936,-61.8233407241322
1345500927,-61.6833896188543
1347000918,-62.3839393454493
1348500909,-62.1349902961484
1350000900,-62.5970991808706
1351500891,-62.915215384651
1353000882,-62.7048985180418
1354500873,-63.0440868214723
1356000864,-62.521325905886
1357500855,-62.8346758014123
1359000846,-64.2509243411198
1360500837,-63.6029851192794
1362000828,-63.0441006042932
1363500819,-63.3849194868632
1365000810,-64.065651405454
1366500801,-63.7489706072782
1368000792,-63.5854388190587
1369500783,-64.3910981855745
1371000774,-63.7910729046049
1372500765,-63.8540661876229
1374000756,-64.5306589437825
1375500747,-63.9101887089858
1377000738,-64.2342000835017
1378500729,-64.47317048443
1380000720,-64.047868029725
1381500711,-64.5425884972388
1383000702,-63.6678733458317
1384500693,-64.4249394462194
1386000684,-63.9968633965056
1387500675,-64.302046242946
1389000666,-64.0045419535635
1390500657,-64.2976836002039
1392000648,-64.0986412050193
1393500639,-64.0065898872243
1395000630,-63.9186777318605
1396500621,-63.3685591050072
1398000612,-64.3429065444997
1399500603,-63.9296311362067
1401000594,-64.1297043427263
1402500585,-64.2905182207313
1404000576,-63.3524471878217
1405500567,-63.5389740445662
1407000558,-64.6031287659004
1408500549,-63.9992010274408
1410000540,-63.7749473701749
1411500531,-63.4957557388216
1413000522,-64.6306525089807
1414500513,-63.9153436723711
1416000504,-63.4584189148032
1417500495,-63.8241840477373
1419000486,-62.9513361804111
1420500477,-64.0129381756388
1422000468,-64.1584405160319
1423500459,-64.4271142960458
1425000450,-64.1079015816577
1426500441,-63.6192340659175
1428000432,-63.7303688152148
1429500423,-63.7779109780683
1431000414,-63.827209149226
1432500405,-63.5822505002712
1434000396,-63.9372195455185
1435500387,-63.2224032460345
1437000378,-63.2878817794234
1438500369,-63.9929236230228
1440000360,-64.0232819903284
1441500351,-64.1584991392257
1443000342,-64.132665240798
1444500333,-63.6093792756328
1446000324,-63.7307992164259
1447500315,-63.114695669469
1449000306,-63.6289597537371
1450500297,-63.7577800152406
1452000288,-64.0164194620879
1453500279,-63.530385958804
1455000270,-63.4060901661783
1456500261,-63.6234634178777
1458000252,-63.79028871625
1459500243,-63.4492513272243
1461000234,-63.1874851702154
1462500225,-63.1813436506272
1464000216,-62.9669897178308
1465500207,-62.7291805312572
1467000198,-64.1663524085295
1468500189,-64.1579531639789
1470000180,-63.6385555029157
1471500171,-62.8552548795693
1473000162,-63.2624024572832
1474500153,-63.1501478644576
1476000144,-63.8342430375715
1477500135,-64.075071543048
1479000126,-62.9944478798297
1480500117,-63.5671742108938
1482000108,-63.0989639050809
1483500099,-63.4731358686097
1485000090,-63.3876099439405
1486500081,-62.9895145411297
1488000072,-62.8874319667355
1489500063,-63.3811379241122
1491000054,-62.7004506134951
1492500045,-62.9007777549114
1494000036,-63.075391917588
1495500027,-63.321876991571
1497000018,-63.0467021700518
1498500009,-63.6344800008659
1500000000,-63.3660783542343
