,0,1,2,3,5,6,7,9,10,22,23
51,(224.55055386911675-393.5233411731546j),(3.8253570781885347+1.1805566393825337j),(349.6146779569157-162.78786897382304j),(577.679387099957-6.659689185629077j),(-677.4325986035808-380.6897766511446j),(-546.7610022702011+186.3663781585101j),(-605.1177217849173+425.6153226107332j),(-376.29006239763777-24.07524751322835j),(-331.8781032551129+136.27153390635584j),(-470.3928763777707-256.0519331455224j),(-577.0253349135631-99.47713174150273j)
52,(189.90416031506987-446.74546204346234j),(4.255192163018708+0.831226436953428j),(336.52654698274563-179.86871599339554j),(627.6959478751771-68.312459706651j),(-768.5164148443724-397.705118606772j),(-529.2594288630569+251.80378496333782j),(-582.3844982067477+513.9177172364057j),(-407.9430140106523+9.124478365837343j),(-336.20208572988093+167.03448363546642j),(-493.6517877184034-225.54137873295232j),(-633.3557528588975-39.19515920027191j)
53,(148.5901988270635-464.72807290468734j),(4.4185266593525485+0.3329850263753431j),(341.9975624195225-237.99581431470926j),(593.1907123311616-119.86719169695672j),(-770.0619057306084-319.1687800045984j),(-524.2684551404243+320.4481007383752j),(-532.3491588634348+619.2309521800906j),(-409.3451651283127+53.19795317247957j),(-314.45276634058706+213.86719542140872j),(-541.9614752323056-187.01094901382004j),(-643.2788086550429+21.219833042855146j)
54,(59.87654048292748-450.36725831008346j),(4.4054011989981205-0.29718234386733466j),(288.5654430865995-264.3723816118716j),(547.1073003838076-194.2960174371517j),(-808.2928440807686-183.22983518919273j),(-461.115851502348+396.1601321325159j),(-444.9800574094694+660.7329101320756j),(-393.95026294522296+103.54906559605195j),(-285.8711398937643+267.2966471727929j),(-556.4326121265786-97.4663189547707j),(-584.4452653577746+102.3313280389204j)
55,(75.42747074943993-456.4729486561507j),(4.413438605206804-0.4061998250424843j),(294.89395772603024-282.66189406123794j),(553.6627434752893-220.61431790976295j),(-801.9093660510109-202.28766939210206j),(-457.7729787418883+383.7140428326541j),(-432.80668222294514+669.399047957552j),(-392.2514101268348+98.09857001341088j),(-287.1915633882286+274.45216649346j),(-574.2021583077835-93.90175692223029j),(-651.0875021811+130.76883360892558j)
56,(-9.905675325650321-445.70363486560933j),(4.0873804102023366-0.9508853681763629j),(242.0630611357215-307.4529820936873j),(500.8640198652938-282.3891804407919j),(-805.5467347092055-62.35158701315174j),(-383.6180558034908+448.26619089310634j),(-309.69107727374785+713.6736288572669j),(-357.2222055344098+162.32170639982743j),(-235.62130336394915+301.76892553163805j),(-569.8402367160007-22.387678389905496j),(-571.0869118831437+208.81140551233838j)
57,(-22.18241475782453-446.25425273317387j),(4.134560908884232-1.1983234143422872j),(218.53690456127777-331.5205790711558j),(506.7169945039767-334.20614473094076j),(-837.6407202744848-11.547267875627579j),(-344.58290558831175+508.29158310278933j),(-265.7949486094554+743.7326428321123j),(-361.35415254251376+200.84658627602616j),(-223.56390897879496+313.75166304449067j),(-580.3154297225459-1.33414385698158j),(-570.4852615624128+242.43400479882584j)
58,(-73.23585857918296-469.6985801230852j),(4.2486012098461785-1.59911634624264j),(201.3595739962952-361.7025012443508j),(508.151934761682-365.9329171138379j),(-876.3484414899323+61.10968419434029j),(-325.82820052448864+536.4435022217668j),(-213.43519515651144+776.0644687242495j),(-366.0291652436551+236.6657997777622j),(-197.1706324674747+364.50286102164614j),(-605.5835582262997+66.93089445845814j),(-581.4637753021759+301.88079455432484j)
59,(-121.21612733900696-457.0648661170617j),(4.073621072391936-2.2803168058227876j),(170.58429381259526-370.8695156937787j),(433.07121892420366-393.7687193658402j),(-846.2480893397045+120.18472840957092j),(-278.13882513480394+554.9684066661604j),(-114.78685947010868+829.2550691375205j),(-339.6098116476331+257.6054600780041j),(-157.71494310090964+357.8346569282204j),(-581.1616802756124+108.44914714888559j),(-561.3711114365794+356.54345748917336j)
60,(-171.9836193061456-431.47377255678055j),(4.09675272672615-2.8634632371227546j),(146.2415963004038-383.6912098890865j),(427.92189306594344-454.44130949468394j),(-892.4661640393571+189.4461275181005j),(-246.27274107978093+647.6490738482399j),(-62.13740353269906+865.072480519592j),(-324.0402119700621+308.9471321228759j),(-140.19685576442495+383.5373678296471j),(-611.613393964912+183.08937622080774j),(-547.1399904412759+407.11571481703527j)
